"bodyid","side"
1734355466,"R"
1827451271,"R"
1671966064,"R"
1671970238,"R"
1671974365,"R"
1672307311,"R"
1672311668,"R"
1672315788,"R"
1672652372,"R"
1702301766,"R"
1703682799,"R"
1703682848,"R"
1703682852,"R"
1703683023,"R"
1703683156,"R"
1734355247,"R"
1734355428,"R"
1734691670,"R"
1734691865,"R"
1734705240,"R"
1735032816,"R"
1735037070,"R"
1735037194,"R"
1735041965,"R"
1735042035,"R"
1735054607,"R"
1735378183,"R"
1735382530,"R"
1735382574,"R"
1735391275,"R"
1735395504,"R"
1735395524,"R"
1764699151,"R"
1765040222,"R"
1765044896,"R"
1765381455,"R"
1765386030,"R"
1765403303,"R"
1766067809,"R"
1766068147,"R"
1766413024,"R"
1766754285,"R"
1766762919,"R"
1795402166,"R"
1795734015,"R"
1795742734,"R"
1796416505,"R"
1796761826,"R"
1797439276,"R"
1797789401,"R"
1826773768,"R"
1858162227,"R"
1858486077,"R"
1858822939,"R"
1859190013,"R"
5812995437,"R"
5812996079,"R"
5813020396,"R"
5813054729,"R"
5901204564,"R"
1796757163,"R"
1671970331,"L"
1764703462,"L"
1574160129,"L"
1574833154,"L"
1575170261,"L"
1639938708,"L"
1669949998,"L"
1670627821,"L"
1671620813,"L"
1671629267,"L"
1671629301,"L"
1671966114,"L"
1671966254,"L"
1671970212,"L"
1671970367,"L"
1671970683,"L"
1672311578,"L"
1672639485,"L"
1672643988,"L"
1703337673,"L"
1703342190,"L"
1703678670,"L"
1704006659,"L"
1704011227,"L"
1734350776,"L"
1734350800,"L"
1734350801,"L"
1734350808,"L"
1734350882,"L"
1734355450,"L"
1734359876,"L"
1734691780,"L"
1734691853,"L"
1734696429,"L"
1734696604,"L"
1735037273,"L"
1735041817,"L"
1735050696,"L"
1735050861,"L"
1735054428,"L"
1735058800,"L"
1735378225,"L"
1735378236,"L"
1735386920,"L"
1764703552,"L"
1765053669,"L"
1765727039,"L"
1766068129,"L"
1766068153,"L"
1766409090,"L"
1766753982,"L"
1766758683,"L"
1796075469,"L"
1796080038,"L"
1796420624,"L"
1796757192,"L"
1796757522,"L"
1796766157,"L"
1797443721,"L"
1797793830,"L"
1826773830,"L"
1827110060,"L"
1827114589,"L"
1827446803,"L"
1827633289,"L"
5812995356,"L"
5812995402,"L"
5812996926,"L"
5812996943,"L"
5813083386,"L"
5813134848,"L"
5901204334,"L"
5901210481,"L"
1797444052,NA
1734355225,NA
1765044577,NA
1765731259,NA
1796075454,NA
1826773575,NA
1796079753,NA
1827122986,NA
